entity_id,best_model,r2,mape
1000,XGBoost,0.7720789501687076,0.016449637925251052
1001,Random Forest,0.2995746518655754,0.02648993970227999
1002,XGBoost,0.8746004385847173,0.022403462327951325
1003,Random Forest,0.8116812567301495,0.013238263405125367
1004,Random Forest,0.5229266156721203,0.023369872844879947
1005,Random Forest,0.8236898708097576,0.015526268844723676
1006,XGBoost,0.8627014178835373,0.019388127503565434
1007,Random Forest,0.6027654437542928,0.01572217449692648
1008,Random Forest,0.734209670380404,0.01792566507929588
1009,Random Forest,0.6150554698759103,0.022460402720919027
1010,XGBoost,0.6992051509049302,0.01882092758778118
1011,XGBoost,0.7387969250995915,0.026892646383386534
1012,XGBoost,0.875209387280129,0.01648106061110818
1013,Random Forest,0.22679271605924978,0.012953328190411792
1014,XGBoost,0.4902543315237107,0.019583530697741925
1015,Random Forest,0.7093992396789855,0.014867598508425239
1016,Random Forest,0.801492275168013,0.015096997657728657
1017,Linear,0.8633539262283344,0.025236496784060418
1018,XGBoost,0.8955267708321382,0.021078006682125557
1019,Random Forest,0.8168132019724645,0.014912263809965125
1020,Random Forest,0.5334327064411768,0.02519092328024238
1021,XGBoost,0.4598667977062363,0.014492796486976958
1022,Random Forest,0.6909317626312099,0.019479859627339325
1023,Random Forest,0.6423734939416825,0.017864743101773287
1024,XGBoost,0.6676169977276091,0.024597054305636013
1025,Linear,0.7797784471002974,0.030813356514931417
1026,Random Forest,0.6643983133015883,0.025373912353978647
1027,Random Forest,0.7456533455940111,0.023058945488039065
1028,Random Forest,0.7011519058598961,0.018766291612123818
1029,XGBoost,0.8677449199400014,0.01460372844021269
